date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper,calculated_cfr,cfr_difference,calculated_prop_sev,year,month,month_name,quarter,year_month,period,cfr_valid,epidemiological_consistency,prop_sev_difference,confirmation_rate,severe_case_rate,mortality_rate,cases_yoy_change,cases_3m_avg,high_burden_flag
2024-01-01,2024-01-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,260.0,,,0.0,0.0,,0.0,0.01408782258025221,,,0.0,0.0,,2024,1,January,1,2024-01,2023-2024,True,False,,,,0.0,,260.0,0
2024-02-01,2024-02-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,196.0,,,0.0,0.0,,0.0,0.0186448079493301,,,0.0,0.0,,2024,2,February,1,2024-02,2023-2024,True,False,,,,0.0,,228.0,0
2024-03-01,2024-03-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,157.0,,,0.0,0.0,,0.0,0.02322216460332516,,,0.0,0.0,,2024,3,March,1,2024-03,2023-2024,True,False,,,,0.0,,204.33,0
2024-04-01,2024-04-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,89.0,,,0.0,0.0,,0.0,0.04060085754963183,,,0.0,0.0,,2024,4,April,2,2024-04,2023-2024,True,False,,,,0.0,,147.33,0
2024-05-01,2024-05-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,241.0,,,0.0,0.0,,0.0,0.01519000387436253,,,0.0,0.0,,2024,5,May,2,2024-05,2023-2024,True,False,,,,0.0,,162.33,0
2024-06-01,2024-06-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,145.0,,,0.0,0.0,,0.0,0.02511966413180211,,,0.0,0.0,,2024,6,June,2,2024-06,2023-2024,True,False,,,,0.0,,158.33,0
2024-07-01,2024-07-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,395.0,,,0.0,0.0,,0.0,0.009295462904318486,,,0.0,0.0,,2024,7,July,3,2024-07,2023-2024,True,False,,,,0.0,,260.33,0
2024-08-01,2024-08-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,437.0,,,0.0,0.0,,0.0,0.008405843409634906,,,0.0,0.0,,2024,8,August,3,2024-08,2023-2024,True,False,,,,0.0,,325.67,0
2024-09-01,2024-09-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,450.0,,,0.0,0.0,,0.0,0.008164001936894372,,,0.0,0.0,,2024,9,September,3,2024-09,2023-2024,True,False,,,,0.0,,427.33,0
2024-10-01,2024-10-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,1197.0,,,2.0,0.001670843776106934,,0.0002024110218609034,0.006022504279897774,,,0.17,-0.16832915622389308,,2024,10,October,4,2024-10,2023-2024,True,False,,,,0.17,,694.67,0
